"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName"
"IT Staff","CN=Michiko Osada","True","Michiko","michiko@contoso.com","CN=Brian Groth","Michiko Osada","user","b3f2cfc1-1e7f-45e3-b54c-1ea8d259f68d","(206) 555-1577","michiko","S-1-5-21-331390976-2650875657-2422772959-1805","Osada","Osada","Project Manager",
"IT Staff","CN=Michael Zeman","True","Michael","michaez@contoso.com","CN=Brian Groth","Michael Zeman","user","530fc08d-2ab3-499c-8ba8-f4ad7af64b5d","(206) 555-7177","michaez","S-1-5-21-331390976-2650875657-2422772959-1806","Zeman","Zeman","Project Manager",
"IT Staff","CN=Maurice Taylor","True","Maurice","maurict@contoso.com","CN=Brian Groth","Maurice Taylor","user","a0c37074-eea7-4cf6-8fae-9d94353b9beb","(206) 555-3382","maurict","S-1-5-21-331390976-2650875657-2422772959-1807","Taylor","Taylor","Project Manager",
"IT Staff","CN=Guido Pica","True","Guido","guidop@contoso.com","CN=Brian Groth","Guido Pica","user","ca7c1c08-3cac-4b77-bb44-4a7cccd7b72c","(206) 555-4724","guidop","S-1-5-21-331390976-2650875657-2422772959-1808","Pica","Pica","Project Manager",
"IT Staff","CN=Jessica Arnold","True","Jessica","jessica@contoso.com","CN=Brian Groth","Jessica Arnold","user","88854ebf-d74b-4648-ae25-6a79e2e762c7","(206) 555-3415","jessica","S-1-5-21-331390976-2650875657-2422772959-1809","Arnold","Arnold","Project Manager",
"Accounting","CN=Chase Carpenter","True","Chase","chasec@contoso.com","CN=Karim Manar","Chase Carpenter","user","60f87580-1572-419c-88ee-2e8424732e0e","(206) 555-9764","chasec","S-1-5-21-331390976-2650875657-2422772959-1810","Carpenter","Carpenter","Accountant",
"IT Staff","CN=Terrence Phillip","True","Terrence","terrenp@contoso.com","CN=Jenni Merrifield","Terrence Phillip","user","bb00ed50-bc69-4871-bdbf-fadf5be62dd0","(206) 555-1678","terrenp","S-1-5-21-331390976-2650875657-2422772959-1811","Phillip","Phillip","Strategy Consultant",
"IT Staff","CN=Hugo Garcia","True","Hugo","hugog@contoso.com","CN=Jenni Merrifield","Hugo Garcia","user","bc0cc68b-a9a2-4196-9ec9-e788801c4ab7","(206) 555-6852","hugog","S-1-5-21-331390976-2650875657-2422772959-1812","Garcia","Garcia","Strategy Consultant",
"IT Staff","CN=Jeremy Los","True","Jeremy","jeremyl@contoso.com","CN=Jenni Merrifield","Jeremy Los","user","1e7897e2-c122-47f2-9d7f-534b584776eb","(206) 555-8792","jeremyl","S-1-5-21-331390976-2650875657-2422772959-1813","Los","Los","Strategy Consultant",
"IT Staff","CN=John Ganio","True","John","johng@contoso.com","CN=Jenni Merrifield","John Ganio","user","2859685c-a540-43bf-b161-9ea55e462395","(206) 555-6235","johng","S-1-5-21-331390976-2650875657-2422772959-1814","Ganio","Ganio","Strategy Consultant",
"IT Staff","CN=Lina Abola","True","Lina","linaa@contoso.com","CN=Jenni Merrifield","Lina Abola","user","21381b8e-94bb-43df-a37a-6ce89324f411","(206) 555-4666","linaa","S-1-5-21-331390976-2650875657-2422772959-1815","Abola","Abola","Strategy Consultant",
"IT Staff","CN=Mark Hanson","True","Mark","markh@contoso.com","CN=Jenni Merrifield","Mark Hanson","user","c6083bbc-d33d-4ee6-b1d2-623893b47535","(206) 555-7794","markh","S-1-5-21-331390976-2650875657-2422772959-1816","Hanson","Hanson","Strategy Consultant",
"IT Staff","CN=Jaka Stele","True","Jaka","jakas@contoso.com","CN=Brian Groth","Jaka Stele","user","41e635b7-adc4-4bd4-bfcc-21dfdb116222","(206) 555-6963","jakas","S-1-5-21-331390976-2650875657-2422772959-1817","Stele","Stele","Project Manager",
"IT Staff","CN=Steven Wright","True","Steven","stevenw@contoso.com","CN=Jenni Merrifield","Steven Wright","user","936a0c68-bb88-44fd-8139-4eb75ec77f73","(206) 555-3155","stevenw","S-1-5-21-331390976-2650875657-2422772959-1818","Wright","Wright","Strategy Consultant",
"IT Staff","CN=Dough Mahugh","True","Dough","doughm@contoso.com","CN=Brian Groth","Dough Mahugh","user","8f2ba7bb-e55c-4f06-b8fc-c2f1595b684f","(206) 555-7139","doughm","S-1-5-21-331390976-2650875657-2422772959-1819","Mahugh","Mahugh","Project Manager",
"IT Staff","CN=Andrea Dunker","True","Andrea","andread@contoso.com","CN=Brian Groth","Andrea Dunker","user","e9008cec-b2a8-4f45-91b1-6a09ae10cd47","(206) 555-1413","andread","S-1-5-21-331390976-2650875657-2422772959-1820","Dunker","Dunker","Project Manager",
"IT Staff","CN=Carlos Grilo","True","Carlos","carlosg@contoso.com","CN=Brian Groth","Carlos Grilo","user","d7fc5e1b-279d-4263-8e46-50ddf3031fea","(206) 555-4536","carlosg","S-1-5-21-331390976-2650875657-2422772959-1821","Grilo","Grilo","Project Manager",
"IT Staff","CN=Chris McGurk","True","Chris","chrism@contoso.com","CN=Brian Groth","Chris McGurk","user","0a15a779-2a72-43c3-8002-850ab93db8f0","(206) 555-1833","chrism","S-1-5-21-331390976-2650875657-2422772959-1822","McGurk","McGurk","Project Manager",
"IT Staff","CN=Dan Bacon","True","Dan","danb@contoso.com","CN=Brian Groth","Dan Bacon","user","1566b672-2488-4b58-ab09-9b62d3a4b9a5","(206) 555-2464","danb","S-1-5-21-331390976-2650875657-2422772959-1823","Bacon","Bacon","Project Manager",
"IT Staff","CN=Daniel Durrer","True","Daniel","danield@contoso.com","CN=Brian Groth","Daniel Durrer","user","f4a59b38-d5fa-4ae5-8afe-b4fde603dad9","(206) 555-8793","danield","S-1-5-21-331390976-2650875657-2422772959-1824","Durrer","Durrer","Project Manager",
"Accounting","CN=James Wittrell","True","James","jamesw@contoso.com","CN=Karim Manar","James Wittrell","user","4641face-6a59-4055-bc0b-29db4b3b1672","(415) 555-2597","jamesw","S-1-5-21-331390976-2650875657-2422772959-1825","Wittrell","Wittrell","Accountant",
"IT Staff","CN=Scott MacDonald","True","Scott","scottm@contoso.com","CN=Jenni Merrifield","Scott MacDonald","user","c6279aa8-6854-42af-bdee-da4f7cd7696d","(206) 555-8452","scottm","S-1-5-21-331390976-2650875657-2422772959-1826","MacDonald","MacDonald","Strategy Consultant",
"Strategy Consulting","CN=Renee Lo","True","Renee","reneel@contoso.com","CN=Aaron Painter","Renee Lo","user","d20f9cd0-3cc4-4f13-8b11-8305abe0bb2b","(206) 555-6864","reneel","S-1-5-21-331390976-2650875657-2422772959-1827","Lo","Lo","Strategy Consultant",
"IT Support","CN=Cari Drummelle","True","Cari","carid@contoso.com","CN=Stan Orme","Cari Drummelle","user","980f27ce-66f2-4fb4-8639-12849a484e92","(212) 555-3889","carid","S-1-5-21-331390976-2650875657-2422772959-1828","Drummelle","Drummelle","Content Management Consultant",
"IT Support","CN=Alfons Parovszky","True","Alfons","alfonsp@contoso.com","CN=Stan Orme","Alfons Parovszky","user","d97650ab-db13-4f64-9126-f88670e1c084","(206) 555-1659","alfonsp","S-1-5-21-331390976-2650875657-2422772959-1829","Parovszky","Parovszky","Content Management Consultant",
"IT Support","CN=Matt Hink","True","Matt","matth@contoso.com","CN=Stan Orme","Matt Hink","user","29dcc0c2-e14d-4eb4-8d0c-eeffee01b314","(206) 555-4157","matth","S-1-5-21-331390976-2650875657-2422772959-1830","Hink","Hink","Content Management Consultant",
"CRM Strategy","CN=Lorraine Nay","True","Lorraine","lorrain@contoso.com","CN=Syed Abbas","Lorraine Nay","user","509cd11b-74bf-4d4d-a19c-1f740e7e4db7","(20) 5555-8569","lorrain","S-1-5-21-331390976-2650875657-2422772959-1831","Nay","Nay","CRM Consultant",
"Strategy Consulting","CN=Iben Thorell","True","Iben","ibent@contoso.com","CN=Brad Sutton","Iben Thorell","user","e58f3e62-e71c-48d7-aa55-7a0606ac5ec9","(206) 555-7167","ibent","S-1-5-21-331390976-2650875657-2422772959-1832","Thorell","Thorell","Strategy Consultant",
"IT Support","CN=Magnus Hedlund","True","Magnus","magnush@contoso.com","CN=Stan Orme","Magnus Hedlund","user","501b0760-1220-41d9-8dd0-f6be960717f8","(206) 555-7213","magnush","S-1-5-21-331390976-2650875657-2422772959-1833","Hedlund","Hedlund","Business Process Manager",
"IT Support","CN=Erik Andersen","True","Erik","erica@contoso.com","CN=Stan Orme","Erik Andersen","user","6b1b2f88-0f3c-429f-8ad7-1535a1dabb3e","(206) 555-6448","erica","S-1-5-21-331390976-2650875657-2422772959-1834","Andersen","Andersen","Content Management Consultant",
"Engineering Operations","CN=Corinna Bolender","True","Corinna","corinnb@contoso.com","CN=Carol Troup","Corinna Bolender","user","a6a98baa-cacc-409f-beb4-22c3a807a473","(206) 555-9821","corinnb","S-1-5-21-331390976-2650875657-2422772959-1835","Bolender","Bolender","Engineer",
"Strategy Consulting","CN=Trey Pratt","True","Trey","treyp@contoso.com","CN=Cesar Garcia","Trey Pratt","user","3193eddf-826d-40cb-97e5-29d899f0be96","(206) 555-2297","treyp","S-1-5-21-331390976-2650875657-2422772959-1836","Pratt","Pratt","Strategy Consultant",
"Sales","CN=John Kane","True","John","johnk@contoso.com","CN=Jose Saraiva","John Kane","user","82919424-4615-4a6c-8922-0719b4e8c3a7","(214) 555-8332","johnk","S-1-5-21-331390976-2650875657-2422772959-1837","Kane","Kane","Salesperson",
"Strategy Consulting","CN=Parna Khot","True","Parna","parnak@contoso.com","CN=Aaron Painter","Parna Khot","user","334959d2-aa9c-4a16-9de6-a81831dc5fa6","(206) 555-8454","parnak","S-1-5-21-331390976-2650875657-2422772959-1838","Khot","Khot","Strategy Consultant",
"Strategy Consulting","CN=Kim Ralls","True","Kim","kimr@contoso.com","CN=David Maman","Kim Ralls","user","230a05a1-554c-4adb-b4e5-77bb32f2e9bf","(206) 555-1443","kimr","S-1-5-21-331390976-2650875657-2422772959-1839","Ralls","Ralls","Strategy Consultant",
"Strategy Consulting","CN=Jan Kotas","True","Jan","jank@contoso.com","CN=Brad Sutton","Jan Kotas","user","4a783fb5-dabc-4f4f-8a2f-b1c90b8efe16","(206) 555-4747","jank","S-1-5-21-331390976-2650875657-2422772959-1840","Kotas","Kotas","Strategy Consultant",
"IT Staff","CN=Thomas Hamborg","True","Thomas","thomash@contoso.com","CN=Brian Groth","Thomas Hamborg","user","dd5cb399-40ae-4fd5-853f-bcf495052b81","(206) 555-4112","thomash","S-1-5-21-331390976-2650875657-2422772959-1841","Hamborg","Hamborg","Project Manager",
"Strategy Consulting","CN=Lolan Song","True","Lolan","lolans@contoso.com","CN=David Maman","Lolan Song","user","ec6c80af-e6f6-4db2-9562-3fc6e2fd7f2e","(206) 555-1913","lolans","S-1-5-21-331390976-2650875657-2422772959-1842","Song","Song","Strategy Consultant",
"Accounting","CN=Lars Hansson","True","Lars","larsh@contoso.com","CN=Karim Manar","Lars Hansson","user","8006fa53-332a-4169-85b3-4ad056f4cc12","(415) 555-7777","larsh","S-1-5-21-331390976-2650875657-2422772959-1843","Hansson","Hansson","Accounting Manager",
"Accounting","CN=Jill Frank","True","Jill","jillf@contoso.com","CN=Karim Manar","Jill Frank","user","5a9e505a-a18f-4bf7-954e-255cd1ceafec","(425) 555-9559","jillf","S-1-5-21-331390976-2650875657-2422772959-1844","Frank","Frank","Accountant",
"Accounting","CN=Joel Lachance","True","Joel","joell@contoso.com","CN=Karim Manar","Joel Lachance","user","acb51c31-6b51-4d80-bdb5-f55f982cdaf6","(206) 555-6848","joell","S-1-5-21-331390976-2650875657-2422772959-1845","Lachance","Lachance","Accountant",
"Strategy Consulting","CN=John John","True","John","johne@contoso.com","CN=Aaron Painter","John John","user","c12c238f-5f1a-4e26-8786-536be9589214","(206) 555-5846","johne","S-1-5-21-331390976-2650875657-2422772959-1846","John","John","Strategy Consultant",
"Strategy Consulting","CN=Jun Cao","True","Jun","junc@contoso.com","CN=Cesar Garcia","Jun Cao","user","94594a6a-d619-403b-a2c4-df1a6dd243af","(206) 555-3449","junc","S-1-5-21-331390976-2650875657-2422772959-1847","Cao","Cao","Strategy Consultant",
"Strategy Consulting","CN=Tony Wang","True","Tony","tonyw@contoso.com","CN=Ellen Adams","Tony Wang","user","a2455199-3552-440d-b834-2f92701b5713","(206) 555-4595","tonyw","S-1-5-21-331390976-2650875657-2422772959-1848","Wang","Wang","Strategy Consultant",
"Strategy Consulting","CN=Kenneth Cools","True","Kenneth","kennetc@contoso.com","CN=Brad Sutton","Kenneth Cools","user","bc1a8902-3723-4595-82c5-abef33280605","(206) 555-4886","kennetc","S-1-5-21-331390976-2650875657-2422772959-1849","Cools","Cools","Strategy Consultant",
"Strategy Consulting","CN=Steve Masters","True","Steve","stevem@contoso.com","CN=Cesar Garcia","Steve Masters","user","85c26295-3d53-4693-b74a-0a892268728c","(206) 555-4557","stevem","S-1-5-21-331390976-2650875657-2422772959-1850","Masters","Masters","Strategy Consultant",
"Strategy Consulting","CN=Lubor Kollar","True","Lubor","lubork@contoso.com","CN=Aaron Painter","Lubor Kollar","user","9dcc4bd9-6fe3-4228-b3c0-32ee0aa83d59","(206) 555-8223","lubork","S-1-5-21-331390976-2650875657-2422772959-1851","Kollar","Kollar","Strategy Consultant",
"Strategy Consulting","CN=Michael Ludwig","True","Michael","michael@contoso.com","CN=Cesar Garcia","Michael Ludwig","user","2cfec94e-ced9-41c2-bc54-c29f4bd2f3a8","(206) 555-6621","michael","S-1-5-21-331390976-2650875657-2422772959-1852","Ludwig","Ludwig","Strategy Consultant",
"Strategy Consulting","CN=Michael Lund","True","Michael","michal1@contoso.com","CN=Ellen Adams","Michael Lund","user","0f6e0712-63ea-47a3-b209-12b1bda75347","(206) 555-4295","michal1","S-1-5-21-331390976-2650875657-2422772959-1853","Lund","Lund","Strategy Consultant",
"Strategy Consulting","CN=Michael Sullivan","True","Michael","michaes@contoso.com","CN=Brad Sutton","Michael Sullivan","user","4f22439d-d769-46ec-a4cb-6fd4a05fbf23","(206) 555-8398","michaes","S-1-5-21-331390976-2650875657-2422772959-1854","Sullivan","Sullivan","Strategy Consultant",
"Strategy Consulting","CN=Ray Chow","True","Ray","rayc@contoso.com","CN=David Maman","Ray Chow","user","11afd577-064c-41a9-8a91-6635b8807294","(206) 555-5295","rayc","S-1-5-21-331390976-2650875657-2422772959-1855","Chow","Chow","Strategy Consultant",
"IT Support","CN=Diane Glimp","True","Diane","dianeg@contoso.com","CN=Stan Orme","Diane Glimp","user","e9ad21c4-767b-44f7-be8a-e256e9e77002","(212) 555-3984","dianeg","S-1-5-21-331390976-2650875657-2422772959-1856","Glimp","Glimp","Content Management Consultant",
"Strategy Consulting","CN=Ken Malcolmson","True","Ken","kenm@contoso.com","CN=Ellen Adams","Ken Malcolmson","user","6336e033-261a-4b4c-b800-3f407008ec7e","(206) 555-8879","kenm","S-1-5-21-331390976-2650875657-2422772959-1857","Malcolmson","Malcolmson","Strategy Consultant",
"Project Management","CN=Manueal Machado","True","Manueal","manueam@contoso.com","CN=Barry Johnson","Manueal Machado","user","c38e3f7b-c5b1-4ba0-b7b8-4bcf317e7db8","(206) 555-2246","manueam","S-1-5-21-331390976-2650875657-2422772959-1858","Machado","Machado","Senior Project Manager",
"Sales","CN=Luca Dellamore","True","Luca","lucad@contoso.com","CN=April Stewart","Luca Dellamore","user","27f11da9-3adb-4e08-8cf0-b7f8be26f2b9","(06) 5555-8461","lucad","S-1-5-21-331390976-2650875657-2422772959-1859","Dellamore","Dellamore","Salesperson",
"Project Management","CN=Ivo Salmre","True","Ivo","ivos@contoso.com","CN=Andrew Ma","Ivo Salmre","user","e270560d-a319-44cb-8272-9f233fee39c0","(206) 555-2699","ivos","S-1-5-21-331390976-2650875657-2422772959-1860","Salmre","Salmre","Project Manager",
"Sales","CN=Howard Gonzalez","True","Howard","howardg@contoso.com","CN=Lene Aalling","Howard Gonzalez","user","1a0d0c4c-35b4-4956-a10a-d11ffbc519d5","(20) 5555-6851","howardg","S-1-5-21-331390976-2650875657-2422772959-1861","Gonzalez","Gonzalez","Salesperson",
"Sales","CN=Elizabeth Andersen","True","Elizabeth","elizaba@contoso.com","CN=Arthur Yasinski","Elizabeth Andersen","user","daf00fa4-53f0-4732-a404-1e7a164f77a1","(617) 555-7395","elizaba","S-1-5-21-331390976-2650875657-2422772959-1862","Andersen","Andersen","Salesperson",
"Project Management","CN=Denis Dehenne","True","Denis","denisd@contoso.com","CN=Barry Johnson","Denis Dehenne","user","1755cd16-eaa9-4d8d-9e0b-d6bb87c40479","(206) 555-6492","denisd","S-1-5-21-331390976-2650875657-2422772959-1863","Dehenne","Dehenne","Project Manager",
"Sales","CN=David Wright","True","David","davidw@contoso.com","CN=David Simpson","David Wright","user","d2c272c5-1aff-46a0-a364-c101e2e22678","(404) 555-9264","davidw","S-1-5-21-331390976-2650875657-2422772959-1864","Wright","Wright","Salesperson",
"Project Management","CN=Chris Barry","True","Chris","chrisb@contoso.com","CN=Mike Nash","Chris Barry","user","77f897be-83f6-4ad6-aec6-0b051223bb82","(206) 555-9267","chrisb","S-1-5-21-331390976-2650875657-2422772959-1865","Barry","Barry","Project Manager",
"Project Management","CN=Ayla Kol","True","Ayla","aylak@contoso.com","CN=Scott Bishop","Ayla Kol","user","0f42a43f-7ae4-4e1d-aca2-8ed2f48da070","(206) 555-3448","aylak","S-1-5-21-331390976-2650875657-2422772959-1866","Kol","Kol","Project Manager",
"Project Management","CN=Alisa Lawyer","True","Alisa","alisal@contoso.com","CN=Scott Bishop","Alisa Lawyer","user","17cc34d0-fda3-4061-a35b-989d01b1975e","(206) 555-4738","alisal","S-1-5-21-331390976-2650875657-2422772959-1867","Lawyer","Lawyer","Project Manager",
"Project Management","CN=Simon Rapier","True","Simon","simonr@contoso.com","CN=Scott Bishop","Simon Rapier","user","52d68cec-3ea1-4efa-9502-a9f7855da055","(206) 555-9848","simonr","S-1-5-21-331390976-2650875657-2422772959-1868","Rapier","Rapier","Senior Project Manager",
"Project Management","CN=Rob Barker","True","Rob","robb@contoso.com","CN=Chris Norred","Rob Barker","user","134976da-0e4a-4b54-8296-88ec813ee99c","(206) 555-2474","robb","S-1-5-21-331390976-2650875657-2422772959-1869","Barker","Barker","Project Manager",
"Sales","CN=Hazem Abolrous","True","Hazem","hazema@contoso.com","CN=Lene Aalling","Hazem Abolrous","user","36ea36ef-6c7a-4a1f-b146-2f006196f4dd","(707) 555-3823","hazema","S-1-5-21-331390976-2650875657-2422772959-1870","Abolrous","Abolrous","Salesperson",
"Project Management","CN=Ned Friend","True","Ned","nedf@contoso.com","CN=Chris Norred","Ned Friend","user","314ee328-bd7f-442e-b1d9-44b29f93f96a","(206) 555-8382","nedf","S-1-5-21-331390976-2650875657-2422772959-1871","Friend","Friend","Project Manager",
"Project Management","CN=Richard Tupy","True","Richard","richart@contoso.com","CN=Andrew Ma","Richard Tupy","user","2727030f-81d6-4816-8bea-ee84608204bc","(206) 555-1694","richart","S-1-5-21-331390976-2650875657-2422772959-1872","Tupy","Tupy","Project Manager",
"Project Management","CN=Don Funk","True","Don","donf@contoso.com","CN=Chris Norred","Don Funk","user","7eb81280-e285-4a1a-a1df-bd332fa9ec25","(206) 555-6561","donf","S-1-5-21-331390976-2650875657-2422772959-1873","Funk","Funk","Project Manager",
"Project Management","CN=Dave Natsuhara","True","Dave","daven@contoso.com","CN=Chris Norred","Dave Natsuhara","user","4b17322a-7f61-4d6a-8ec2-e38d5024af99","(206) 555-9299","daven","S-1-5-21-331390976-2650875657-2422772959-1874","Natsuhara","Natsuhara","Project Manager",
"Project Management","CN=Christian Rytt","True","Christian","christr@contoso.com","CN=Chris Norred","Christian Rytt","user","96d25c15-e37f-455c-b75f-69e5da969cc0","(206) 555-5488","christr","S-1-5-21-331390976-2650875657-2422772959-1875","Rytt","Rytt","Project Manager",
"Project Management","CN=Ted Bremer","True","Ted","tedb@contoso.com","CN=Chris Norred","Ted Bremer","user","999dfb79-ae8a-46b5-96dd-9a4a665f1c83","(206) 555-3874","tedb","S-1-5-21-331390976-2650875657-2422772959-1876","Bremer","Bremer","Business Process Manager",
"Project Management","CN=Sean Purcell","True","Sean","seanp@contoso.com","CN=Chris Norred","Sean Purcell","user","4c46b704-4290-4fc4-bf7f-3e36e1afc0dc","(206) 555-6953","seanp","S-1-5-21-331390976-2650875657-2422772959-1877","Purcell","Purcell","Business Process Manager",
"Project Management","CN=Ray Mohrman","True","Ray","raym@contoso.com","CN=Barry Johnson","Ray Mohrman","user","f3631d6c-f336-4b68-82c7-54c0298f62ff","(206) 555-1471","raym","S-1-5-21-331390976-2650875657-2422772959-1878","Mohrman","Mohrman","Senior Project Manager",
"Project Management","CN=Mike Tiano","True","Mike","miket@contoso.com","CN=Chris Norred","Mike Tiano","user","7491b038-f6dc-42c9-a856-928af8de77d6","(206) 555-6552","miket","S-1-5-21-331390976-2650875657-2422772959-1879","Tiano","Tiano","Business Process Manager",
"Project Management","CN=Margaret Au","True","Margaret","margara@contoso.com","CN=Chris Norred","Margaret Au","user","2cfc0fba-86e9-4107-9a1f-c0e2643cf927","(206) 555-2918","margara","S-1-5-21-331390976-2650875657-2422772959-1880","Au","Au","Business Process Manager",
"Project Management","CN=Jesper Aaberg","True","Jesper","jespera@contoso.com","CN=Chris Norred","Jesper Aaberg","user","9a7c972f-cff2-47b0-9508-0a60ae0bd846","(206) 555-1783","jespera","S-1-5-21-331390976-2650875657-2422772959-1881","Aaberg","Aaberg","Project Manager",
"Project Management","CN=Danni Ortman","True","Danni","dannio@contoso.com","CN=Andrew Ma","Danni Ortman","user","5bddae12-c93b-400e-95ea-7fdd978644f2","(206) 555-6667","dannio","S-1-5-21-331390976-2650875657-2422772959-1882","Ortman","Ortman","Senior Project Manager",
"Project Management","CN=Andy Jacobs","True","Andy","andyj@contoso.com","CN=Scott Bishop","Andy Jacobs","user","d614cab3-cbef-4f76-ac89-6272c4296a5b","(206) 555-4262","andyj","S-1-5-21-331390976-2650875657-2422772959-1883","Jacobs","Jacobs","Senior Project Manager",
"Operations","CN=Mchiel Wories","True","Mchiel","mchielw@contoso.com","CN=Keith Dishmo","Mchiel Wories","user","0855552e-0a9c-49c9-ab7b-b5b2139d68c7","(206) 555-4539","mchielw","S-1-5-21-331390976-2650875657-2422772959-1884","Wories","Wories","Procurement Manager",
"Project Management","CN=Nuria Gonzalez","True","Nuria","nuriag@contoso.com","CN=Mike Nash","Nuria Gonzalez","user","0b0be144-c523-49bd-9a1e-ce33380f77d8","(206) 555-8185","nuriag","S-1-5-21-331390976-2650875657-2422772959-1885","Gonzalez","Gonzalez","Senior Project Manager",
"Human Resources","CN=Ty Carlson","True","Ty","tyc@contoso.com","CN=Lene Aalling","Ty Carlson","user","b814383c-7677-4688-9657-b7da87029527","(701) 555-4446","tyc","S-1-5-21-331390976-2650875657-2422772959-1886","Carlson","Carlson","Salesperson",
"Senior Management","CN=Cassie Hicks","True","Cassie","cassieh@contoso.com","CN=Adam Barr","Cassie Hicks","user","3d2f2dfa-243a-402e-870d-60dd49941a28","(425) 555-0129","cassieh","S-1-5-21-331390976-2650875657-2422772959-1887","Hicks","Hicks","Director of Client Services",
"Senior Management","CN=Sean Chai","True","Sean","seanc@contoso.com","CN=Molly Clark","Sean Chai","user","0dd27d49-e37a-4d96-974c-60f1e71ea61c","(425) 555-0193","seanc","S-1-5-21-331390976-2650875657-2422772959-1888","Chai","Chai","Director of Affiliate Marketing and Partnerships",
"Senior Management","CN=Todd Rowe","True","Todd","toddr@contoso.com","CN=Diane Prescott","Todd Rowe","user","b886a5ce-2ea5-4158-9c3d-3d6f0cf7ef40","(425) 555-0124","toddr","S-1-5-21-331390976-2650875657-2422772959-1889","Rowe","Rowe","Sr. Media Planner",
"CIO","CN=Tai Lee","True","Tai","tail@contoso.com","CN=Jeff Hay","Tai Lee","user","3d1f6403-e0eb-4324-9640-df6c4f4b3c7b","(425) 555-0131","tail","S-1-5-21-331390976-2650875657-2422772959-1890","Lee","Lee","President of Services",
"Senior Management","CN=Greg Winston","True","Greg","gregw@contoso.com","CN=Jeff Hay","Greg Winston","user","87453529-86f3-419d-99e5-2ab07db70c47","(425) 555-0140","gregw","S-1-5-21-331390976-2650875657-2422772959-1891","Winston","Winston","President of Management",
"Executive","CN=Sanjay Shah","True","Sanjay","sanjays@contoso.com","CN=Dan Jump","Sanjay Shah","user","5b25c30e-2a5e-40ac-8ee6-03c009d420da","(425) 555-0107","sanjays","S-1-5-21-331390976-2650875657-2422772959-1892","Shah","Shah","Chief of Technical Strategy",
"Executive","CN=Toni Poe","True","Toni","tonip@contoso.com","CN=Dan Jump","Toni Poe","user","3b399135-31d6-463b-b91b-368e5b1449d5","(425) 555-0196","tonip","S-1-5-21-331390976-2650875657-2422772959-1893","Poe","Poe","Chief of Partnerships and Strategy",
"Executive","CN=Jim Daly","True","Jim","jimd@contoso.com","CN=Dan Jump","Jim Daly","user","735489b4-7b2c-4f68-a76e-9156de8da5d6","(425) 555-0116","jimd","S-1-5-21-331390976-2650875657-2422772959-1894","Daly","Daly","CFO",
"Human Resources","CN=Tom Youtsey","True","Tom","tomy@contoso.com","CN=David Simpson","Tom Youtsey","user","dbba0074-e5fc-49ec-bc34-74a6329be754","(206) 555-4331","tomy","S-1-5-21-331390976-2650875657-2422772959-1895","Youtsey","Youtsey","Salesperson",
"Human Resources","CN=Kerim Hanif","True","Kerim","kerimh@contoso.com","CN=David Simpson","Kerim Hanif","user","bec96a2e-6811-4aed-92c1-80c10cbef492","(206) 555-5661","kerimh","S-1-5-21-331390976-2650875657-2422772959-1896","Hanif","Hanif","Salesperson",
"Human Resources","CN=Jamie Reding","True","Jamie","jamier@contoso.com","CN=David Simpson","Jamie Reding","user","9c2872a2-9f00-42c0-b00d-4842a0fcaef3","(206) 555-2363","jamier","S-1-5-21-331390976-2650875657-2422772959-1897","Reding","Reding","Salesperson",
"Human Resources","CN=Ye Xu","True","Ye","yex@contoso.com","CN=Arthur Yasinski","Ye Xu","user","46724360-4b6e-43c9-bb13-b57c7cbd2a12","(214) 555-7757","yex","S-1-5-21-331390976-2650875657-2422772959-1898","Xu","Xu","Salesperson",
"Sales","CN=Marko Zajc","True","Marko","markoz@contoso.com","CN=April Stewart","Marko Zajc","user","ecd55b50-c750-463c-8eaf-ae8be8f0701b","(09) 5555-3784","markoz","S-1-5-21-331390976-2650875657-2422772959-1899","Zajc","Zajc","Salesperson",
"Human Resources","CN=Fabrice Canel","True","Fabrice","fabricc@contoso.com","CN=Arthur Yasinski","Fabrice Canel","user","74e3e1ec-3ff1-4727-8a2c-8e795c246502","(214) 555-8815","fabricc","S-1-5-21-331390976-2650875657-2422772959-1900","Canel","Canel","Salesperson",
"Sales","CN=Pavel Simsa","True","Pavel","pavels@contoso.com","CN=David Simpson","Pavel Simsa","user","df5f44c7-dcbc-4b3d-b8d1-a96021f4e660","(06) 5555-1284","pavels","S-1-5-21-331390976-2650875657-2422772959-1901","Simsa","Simsa","Salesperson",
"Human Resources","CN=Vernette Price","True","Vernette","vernettp@contoso.com","CN=Lene Aalling","Vernette Price","user","10e7c1a2-4a94-497d-a738-3c682f8cf761","(701) 555-6828","vernettp","S-1-5-21-331390976-2650875657-2422772959-1902","Price","Price","Salesperson",
"Human Resources","CN=Nate Sun","True","Nate","nates@contoso.com","CN=Lene Aalling","Nate Sun","user","b43c196e-de75-4752-8a5c-c0a13f9ccb92","(701) 555-7818","nates","S-1-5-21-331390976-2650875657-2422772959-1903","Sun","Sun","Salesperson",
"Human Resources","CN=Tina Makovec","True","Tina","tinam@contoso.com","CN=April Stewart","Tina Makovec","user","05809581-4d1d-4c6b-a895-12e5e129bc04","(804) 555-2465","tinam","S-1-5-21-331390976-2650875657-2422772959-1904","Makovec","Makovec","Salesperson",
